business_id,city,state,categories,high_category_consumption,low_category_volume,high_city_state_income,high_star_business,high_review_count
0x88628a63126bfe57:0x9447fbe40b350d14,Athens,Alabama,Interior Remodeling,False,False,False,False,False
0x886261d09e4c0a9d:0x39a8efaf14f05d30,Athens,Alabama,HVAC & Air Quality,False,False,False,False,False
0x88628b44d8547cdb:0x5156e731f78037b6,Athens,Alabama,HVAC & Air Quality,False,False,False,False,False
0x88628a63a9044dd3:0xcd3b21d2871119d4,Athens,Alabama,Roofing & Insulation,False,False,False,True,True
0x886261be00a91c13:0xf737f90c5f7e5656,Athens,Alabama,Exterior Remodeling or Construction,False,False,False,False,False
0x889079bbaeb1285f:0x60857d9c23cbc503,Atmore,Alabama,Cleaning Services,False,False,False,False,False
0x888a3cb5d826e577:0x2648bafa2aab8f1,Attalla,Alabama,Appliance Repair & Installation,False,False,False,False,False
0x888cf2e788f42d5b:0x63a84593d141d0cc,Auburn,Alabama,Exterior Remodeling or Construction,False,True,False,False,False
0x888cf6a425c35753:0x6af9d0b3ca99f1c3,Auburn,Alabama,Exterior Remodeling or Construction,False,True,False,False,False
0x888ced4d59f52239:0xfdde3ba88ae6b727,Auburn,Alabama,Cleaning Services,True,True,False,False,False
0x888cf2e76385b39f:0x2f58e8df47c7ff6b,Auburn,Alabama,Cleaning Services,True,True,False,False,False
0x888cf2e8bc654731:0x76a1661ea305ee05,Auburn,Alabama,Cleaning Services,True,True,False,False,True
0x888cf31930782da9:0xe4d059f972b7cf39,Auburn,Alabama,HVAC & Air Quality,False,False,False,False,False
0x888cf2afd19a38a3:0xbe400b6e3b6b0ea4,Auburn,Alabama,Handyman or Other,True,True,False,False,True
0x888cf2e0bd02a041:0x5a4d9e70c8cbd322,Auburn,Alabama,Handyman or Other,True,True,False,False,False
0x888cf2e8d7621887:0x99da17d449cfb52d,Auburn,Alabama,Handyman or Other,True,True,False,False,False
0x888cf2fbdc91c4fd:0x11abe3fee7f7a928,Auburn,Alabama,Landscape & Garden Services,False,False,False,True,False
0x888c933a145354b9:0x7b535219f3c39398,Auburn,Alabama,Plumbing Services,False,False,False,True,False
0x8888dc16d6db9b77:0xad841186384749be,Bessemer,Alabama,Handyman or Other,False,False,False,False,False
0x8888e09f5b225c79:0x4d1a830b54c6b0ab,Bessemer,Alabama,Handyman or Other,False,False,False,False,False
0x8888e725ddc57231:0x2130dad159d5e182,Bessemer,Alabama,Exterior Remodeling or Construction,False,False,False,True,False
0x8888df056fc6a72b:0xaece63b865ac98d4,Bessemer,Alabama,Plumbing Services,False,False,False,True,False
0x8888e658d00c7947:0x63e1001fc3410b5c,Bessemer,Alabama,Interior Remodeling,False,False,False,False,False
0x8888dc1f6a663955:0xba0553edf52e44dd,Bessemer,Alabama,Appliance Repair & Installation,True,False,False,False,False
0x8888df132a70994f:0xdc635790045d61d7,Bessemer,Alabama,Appliance Repair & Installation,True,False,False,False,True
0x8888dd66c1e6653d:0x96c39fa586ad9245,Bessemer,Alabama,HVAC & Air Quality,True,False,False,True,True
0x8888df6f49a4e087:0xc07a7a3126b15675,Bessemer,Alabama,HVAC & Air Quality,True,False,False,True,True
0x8888e0a603e630d5:0xdd30acb37bec382a,Bessemer,Alabama,Masonry & Concrete Services,False,False,False,False,False
0x8888de2792261e47:0xad1de2d82291e2d7,Bessemer,Alabama,Cleaning Services,False,False,False,False,False
0x8888e0beb6429669:0x99c7f70a56be6f4b,Bessemer,Alabama,Cleaning Services,False,False,False,False,False
0x8888e751c6405e9d:0xdcd9ea3049c3482a,Bessemer,Alabama,Landscape & Garden Services,False,False,False,False,False
0x88891c501ab073b9:0x1459500de336bac7,Birmingham,Alabama,Masonry & Concrete Services,False,False,False,False,False
0x88891b01159f81d1:0xbaaef9aeb187b57d,Birmingham,Alabama,Plumbing Services,False,False,False,False,False
0x88891b90ffffffff:0x49ebf4ef3748a374,Birmingham,Alabama,Plumbing Services,False,False,False,False,True
0x8889120537039b69:0xc174a3fde06c8ea6,Birmingham,Alabama,Landscape & Garden Services,False,False,False,False,False
0x888915980aa5d5cd:0xe5f8cdcb3de57b32,Birmingham,Alabama,Landscape & Garden Services,False,False,False,False,False
0x88891bdda132bfb5:0x7014201d41c1aa29,Birmingham,Alabama,Landscape & Garden Services,False,False,False,False,False
0x88891edee15186fb:0xa9c2418cdf3783ee,Birmingham,Alabama,Landscape & Garden Services,False,False,False,False,True
0x88891efe0964bcf7:0x1efd991a5896f640,Birmingham,Alabama,Landscape & Garden Services,False,False,False,False,True
0x88890dafc7a81b07:0xf322a512769caca9,Birmingham,Alabama,Handyman or Other,False,False,False,False,False
0x88890ef21aaa9abf:0x36257ba15c7db828,Birmingham,Alabama,Handyman or Other,False,False,False,False,False
0x88891764197f2a03:0xdb24b5f1b909b6,Birmingham,Alabama,Handyman or Other,False,False,False,False,True
0x888918ec89a6b313:0x63128f300bc06213,Birmingham,Alabama,Handyman or Other,False,False,False,False,True
0x88891a4f310c742b:0x7de926ae8abaa2d2,Birmingham,Alabama,Handyman or Other,False,False,False,False,False
0x88891b48e63da16d:0x581d5366d97b0452,Birmingham,Alabama,Handyman or Other,False,False,False,False,False
0x88891bb5acc08a47:0x3db27b91caa48ba,Birmingham,Alabama,Handyman or Other,False,False,False,False,False
0x88891bb986c74f9f:0xcc339f7c13c3cbf2,Birmingham,Alabama,Handyman or Other,False,False,False,False,False
0x88891d59ecf47d9d:0x89b312ed5e7c024c,Birmingham,Alabama,Handyman or Other,False,False,False,False,False
0x88891e37e662ffef:0x246617b4485f86fc,Birmingham,Alabama,Handyman or Other,False,False,False,False,False
0x88891ebfd3dc256f:0x355c1fc711866051,Birmingham,Alabama,Handyman or Other,False,False,False,False,False
0x8889201f9523816d:0xbcbc0130f29cf4e6,Birmingham,Alabama,Handyman or Other,False,False,False,False,False
0x88893d2530b97bb5:0x3d2e1ac8c6984d89,Birmingham,Alabama,Handyman or Other,False,False,False,False,False
0x88890d8e150ee91b:0xe8edc9801c456073,Birmingham,Alabama,Interior Remodeling,False,False,False,False,True
0x88891062a31dbf53:0x19b259d666601d78,Birmingham,Alabama,Interior Remodeling,False,False,False,False,False
0x8889160faaeb5da5:0xcdbb78dcf3887557,Birmingham,Alabama,Interior Remodeling,False,False,False,False,True
0x8889163fffffffdf:0xf751761183b6105c,Birmingham,Alabama,Interior Remodeling,False,False,False,False,False
0x88891bb27918e925:0x24c9b2916d25a80e,Birmingham,Alabama,Interior Remodeling,False,False,False,False,False
0x8889227661579a99:0x60b888269d425b11,Birmingham,Alabama,Interior Remodeling,False,False,False,False,False
0x88893b3a89431e8d:0xefa4f4f312a5b9fd,Birmingham,Alabama,Interior Remodeling,False,False,False,False,True
0x88891bb409b639dd:0x93ce2a634cef57f0,Birmingham,Alabama,Electrical Services,False,False,False,True,False
0x88891bf8c5ba182d:0x85468b64203ed855,Birmingham,Alabama,Roofing & Insulation,False,False,False,True,True
0x88891c0a4ca2d7b1:0xae8990623fd10875,Birmingham,Alabama,Roofing & Insulation,False,False,False,True,True
0x8888e1b7d78136d7:0x9f57fbac858087f,Birmingham,Alabama,Cleaning Services,False,False,False,False,False
0x8889101f7026affd:0x2aa99e7dfb658463,Birmingham,Alabama,Cleaning Services,False,False,False,False,False
0x888911b060a81061:0xa56ad5c7f3ce4c5a,Birmingham,Alabama,Cleaning Services,False,False,False,False,True
0x888915bfffffffff:0x62a3539e3e6fd484,Birmingham,Alabama,Cleaning Services,False,False,False,False,True
0x88891c0ac859a89b:0x4fcf35ba0582eb39,Birmingham,Alabama,Cleaning Services,False,False,False,False,False
0x88891d8f1d22fb0b:0x3c00934c6d008065,Birmingham,Alabama,Cleaning Services,False,False,False,False,False
0x888924e52224bd39:0x2e611205e661f050,Birmingham,Alabama,Cleaning Services,False,False,False,False,True
0x8889726a6c81bdad:0xf928355ad2b679eb,Birmingham,Alabama,Cleaning Services,False,False,False,False,True
0x888905ab82121a25:0x7cfba4f4fed8de1c,Birmingham,Alabama,HVAC & Air Quality,False,False,False,False,False
0x88890de89b6f5383:0x8b18741576ff57ae,Birmingham,Alabama,HVAC & Air Quality,False,False,False,False,False
0x888913545a354a67:0x8449c475675dc29,Birmingham,Alabama,HVAC & Air Quality,False,False,False,False,False
0x888916709e4fbfdb:0x508d384ebc768750,Birmingham,Alabama,HVAC & Air Quality,False,False,False,False,False
0x88891a8f7dd7029b:0x21b18173dadadd69,Birmingham,Alabama,HVAC & Air Quality,False,False,False,False,True
0x88891ba8ec498e3f:0xa06400fb50230b7f,Birmingham,Alabama,HVAC & Air Quality,False,False,False,False,False
0x88891bb72c82fef1:0x356b5c41e9c54b7d,Birmingham,Alabama,HVAC & Air Quality,False,False,False,False,False
0x88891bff59657977:0xea929cc317491c16,Birmingham,Alabama,HVAC & Air Quality,False,False,False,False,True
0x888905770d52b121:0x928fb0b9d9933023,Birmingham,Alabama,Exterior Remodeling or Construction,False,False,False,False,True
0x8889105fc80ec5a9:0x53686e28fd7183eb,Birmingham,Alabama,Exterior Remodeling or Construction,False,False,False,False,True
0x8889160c0cb33e79:0xf7f0ec7acbfe0330,Birmingham,Alabama,Exterior Remodeling or Construction,False,False,False,False,False
0x8889160edb55cccb:0x23ec29414e6d595e,Birmingham,Alabama,Exterior Remodeling or Construction,False,False,False,False,False
0x88891bbe9f7a3173:0xfc136dd115a2ee3,Birmingham,Alabama,Exterior Remodeling or Construction,False,False,False,False,False
0x88891f2635e9d1a1:0x59bd0525c11acb5f,Birmingham,Alabama,Exterior Remodeling or Construction,False,False,False,False,False
0x88893e19213388e5:0xeb3f3999b720c596,Birmingham,Alabama,Exterior Remodeling or Construction,False,False,False,False,False
0x88890e063831425b:0xa5df89967a52a34d,Birmingham,Alabama,Appliance Repair & Installation,False,False,False,False,True
0x8889166b0910fbb5:0xf279f98eba294bf8,Birmingham,Alabama,Appliance Repair & Installation,False,False,False,False,False
0x88891c245bbff6f3:0xee26e49d30554648,Birmingham,Alabama,Appliance Repair & Installation,False,False,False,False,False
0x88891d8366e251a5:0xa4e69475675a43f2,Birmingham,Alabama,Appliance Repair & Installation,False,False,False,False,True
0x88891eadf0d5d295:0x17932b6f905cd9ac,Birmingham,Alabama,Appliance Repair & Installation,False,False,False,False,False
0x88893d51e18071f5:0xea412bab4e5dfeb1,Birmingham,Alabama,Appliance Repair & Installation,False,False,False,False,False
0x8889eb918dea12e3:0x899c37e7fb7180e9,Blountsville,Alabama,HVAC & Air Quality,False,False,False,False,False
0x888a1bbe36f33b0f:0x61c9021f1728875c,Boaz,Alabama,Cleaning Services,False,True,True,True,False
0x88892e05ff600225:0x3f9c17c63e2b05cb,Calera,Alabama,Appliance Repair & Installation,False,False,False,False,False
0x88892f990d6604c7:0xba726c7d3535fae9,Calera,Alabama,HVAC & Air Quality,True,False,False,True,True
0x88892decb40fb967:0x88f2a454ba968763,Calera,Alabama,Roofing & Insulation,True,False,False,True,True
0x88893fa905e3bfdd:0x2f1187f8c44c218c,Chelsea,Alabama,Handyman or Other,False,False,True,False,False
0x88895bec7f65161d:0x79f48e9ea7b1d5b4,Childersburg,Alabama,HVAC & Air Quality,True,False,False,True,True
0x888ec6398549347f:0xaadfa8841b9529df,Clanton,Alabama,Handyman or Other,False,False,False,True,False
0x888ec7b3715895bf:0x238dd46e84802262,Clanton,Alabama,Appliance Repair & Installation,False,True,False,False,False
0x888ec89f6d5898f5:0xf7d57fb692782099,Clanton,Alabama,Appliance Repair & Installation,False,True,False,False,False
0x8889480b0357bac1:0xb0c3b029861f8243,Columbiana,Alabama,Plumbing Services,False,False,False,False,False
0x8888af2a1262104d:0xedbde67566e7bd77,Cottondale,Alabama,Appliance Repair & Installation,False,False,False,False,False
0x8888af29b84e7dd1:0xb9b8ec6731ecdac3,Cottondale,Alabama,Cleaning Services,False,False,False,False,False
0x8888340e8990ab6b:0xe00b003198e9a7c2,Cullman,Alabama,Appliance Repair & Installation,True,True,False,False,False
0x8889c95140eca1d5:0x90bae2abcfe162a0,Cullman,Alabama,Appliance Repair & Installation,True,True,False,False,True
0x8889ca32fa3584d3:0xdb4c25c6710e6ecd,Cullman,Alabama,Appliance Repair & Installation,True,True,False,False,False
0x8889cb844f760939:0xebff8dd1633ac70a,Cullman,Alabama,Appliance Repair & Installation,True,True,False,False,False
0x8889cb900d093d93:0xb0092c5fb6887c17,Cullman,Alabama,Appliance Repair & Installation,True,True,False,False,False
0x8889cc74b57c9bff:0x23ee36c7ae744756,Cullman,Alabama,Appliance Repair & Installation,True,True,False,False,False
0x8889ce5328ec3073:0xdc887a1365b67d7e,Cullman,Alabama,Appliance Repair & Installation,True,True,False,False,False
0x8889caaf30c04d8b:0x53829d77ffd5abc9,Cullman,Alabama,Landscape & Garden Services,False,False,False,True,False
0x8889cb8925547c4d:0x870aeb0c913846c0,Cullman,Alabama,Interior Remodeling,False,False,False,False,False
0x8889cba7a0e099a3:0x343752996f919d3a,Cullman,Alabama,Interior Remodeling,False,False,False,False,True
0x8889c934e42459ed:0x41fc26594bd67b07,Cullman,Alabama,HVAC & Air Quality,False,True,False,False,False
0x8889c9e9ab13c37b:0x9d52a756e5e3d1c3,Cullman,Alabama,HVAC & Air Quality,False,True,False,False,False
0x8889cc74b89c8317:0xb2426dd1d92903bc,Cullman,Alabama,HVAC & Air Quality,False,True,False,False,False
0x88884ca8352b13c1:0x76be75aa879dbe6c,Cullman,Alabama,Handyman or Other,False,True,False,False,False
0x8889ca32c9555555:0xcedc333018112e78,Cullman,Alabama,Handyman or Other,False,True,False,False,False
0x8889cba44bafa587:0x3aa75725305a4edd,Cullman,Alabama,Handyman or Other,False,True,False,False,False
0x8889b56bcec08a5f:0x6ebece593dfd2bd8,Cullman,Alabama,Masonry & Concrete Services,False,True,False,False,False
0x8889cba683646f45:0xfe07b32128b1d102,Cullman,Alabama,Masonry & Concrete Services,False,True,False,False,False
0x8889ccf4da861aa3:0x5d07f47d39237dd,Cullman,Alabama,Masonry & Concrete Services,False,True,False,False,False
0x8889c9a893787e11:0x4042b3bdf9c7a1e6,Cullman,Alabama,Cleaning Services,False,False,False,False,False
0x8889cbbe19f27f15:0xef021115c0e606b,Cullman,Alabama,Cleaning Services,False,False,False,False,False
0x888c6534209532ad:0xc255ea5d81f987e8,Dadeville,Alabama,HVAC & Air Quality,False,False,False,False,False
0x889a6a06e71fd8db:0xac7558325c1f9834,Daphne,Alabama,Interior Remodeling,False,False,True,False,True
0x889a4178cb1c08cd:0x65ea812e2f078443,Daphne,Alabama,Handyman or Other,True,True,True,False,False
0x889a421e4a488535:0xd2d19dbe2c32d223,Daphne,Alabama,Handyman or Other,True,True,True,False,False
0x889a43d73b1dcd9f:0x314a4dc1c4279bf4,Daphne,Alabama,Handyman or Other,True,True,True,False,False
0x889a43bd359e1233:0xcc37a4e6bb9592ca,Daphne,Alabama,Cleaning Services,False,False,True,False,False
0x889a41020d767475:0xab040465a49817a,Daphne,Alabama,HVAC & Air Quality,True,True,True,True,True
0x889a69f62d949da1:0x9a9bd9e00f87db88,Daphne,Alabama,HVAC & Air Quality,True,True,True,True,True
0x8862817865b7aedb:0x59c3270999d76493,Decatur,Alabama,Interior Remodeling,False,False,False,False,False
0x8862841f1d2dc1cb:0x1a9268ff95ab325a,Decatur,Alabama,Masonry & Concrete Services,False,False,False,False,False
0x88628316961f0e01:0xc01b7c820414edf6,Decatur,Alabama,Plumbing Services,False,False,False,False,False
0x8862842758f03377:0xf85613bd2c2b1eea,Decatur,Alabama,Plumbing Services,False,False,False,False,True
0x886286a3700ca049:0xa887d1e7ea56c7d0,Decatur,Alabama,Handyman or Other,False,False,False,False,False
0x88628176f07553e9:0xd6e68e47ea8b8580,Decatur,Alabama,HVAC & Air Quality,True,True,False,False,True
0x88628452cf4ecc45:0x7db2cc7efdc5a5a0,Decatur,Alabama,HVAC & Air Quality,True,True,False,False,False
0x886286807f5249db:0xf0112c754de01e47,Decatur,Alabama,HVAC & Air Quality,True,True,False,False,False
0x88628682a0ac192b:0xc1f4a8e2e0d7641d,Decatur,Alabama,HVAC & Air Quality,True,True,False,False,True
0x886286a0f9aa31ab:0xd1bc8c949ccd695f,Decatur,Alabama,HVAC & Air Quality,True,True,False,False,False
0x88628b42a79a6d9f:0x6e8c50ddb5f6a1fc,Decatur,Alabama,HVAC & Air Quality,True,True,False,False,True
0x886283d6256638ef:0x292daabb58d7aa0d,Decatur,Alabama,Exterior Remodeling or Construction,False,False,False,False,False
0x88628426b43c255d:0x3913c6a863bf8d69,Decatur,Alabama,Exterior Remodeling or Construction,False,False,False,False,False
0x8862815d12c9aed7:0x98c710430ac8ee1c,Decatur,Alabama,Cleaning Services,True,True,False,False,False
0x886283fcfaa845ed:0x9ee409420357096a,Decatur,Alabama,Cleaning Services,True,True,False,False,True
0x886284197cc74465:0x3482379694b44e39,Decatur,Alabama,Cleaning Services,True,True,False,False,False
0x8862841ebc2ea73b:0x32160f3745be6648,Decatur,Alabama,Cleaning Services,True,True,False,False,False
0x889292dc8be83e25:0x1fb173908c46c12,Dothan,Alabama,Interior Remodeling,False,False,False,False,False
0x8892920961f7a619:0x7c64dcc8c1a45c0b,Dothan,Alabama,Exterior Remodeling or Construction,False,False,False,False,False
0x8892ed07386fc6fb:0x3b97f43617521d8a,Dothan,Alabama,Exterior Remodeling or Construction,False,False,False,False,False
0x88928df846adc7cd:0x3abd58eb04b5a2e,Dothan,Alabama,Handyman or Other,True,True,False,False,False
0x88928dfecbb52f7f:0x144275ddcd996f93,Dothan,Alabama,Handyman or Other,True,True,False,False,True
0x889292125aff38e7:0x6260c591fe0e3f11,Dothan,Alabama,Handyman or Other,True,True,False,False,True
0x889292455220c221:0xfd8ba60fd9f599e6,Dothan,Alabama,Handyman or Other,True,True,False,False,False
0x8892927d935f424d:0x3aa0af9aa07a070d,Dothan,Alabama,Handyman or Other,True,True,False,False,False
0x88929296bf8573e1:0xeab3802ebb796d58,Dothan,Alabama,Handyman or Other,True,True,False,False,False
0x8892edaee4f6cd81:0xb62b107e0c02613,Dothan,Alabama,Handyman or Other,True,True,False,False,False
0x88928d08e1a7cfcb:0x8982d79f55cd7f5c,Dothan,Alabama,Landscape & Garden Services,False,False,False,True,True
0x88928cd065a01f11:0xb6ad5aa4e8cecc43,Dothan,Alabama,Plumbing Services,False,False,False,True,False
0x88928d5f6d6d058f:0xadc21da2b327600c,Dothan,Alabama,Plumbing Services,False,False,False,True,True
0x8892921311c230fd:0x8fe1017aa648b72e,Dothan,Alabama,Appliance Repair & Installation,False,False,False,False,False
0x889293004402c64d:0x5a3bd58c8045da98,Dothan,Alabama,Cleaning Services,False,False,False,False,False
0x88929303bc94c037:0x5d8f21917e4c705a,Dothan,Alabama,Cleaning Services,False,False,False,False,False
0x889293b864a2101f:0x19f740c64f355129,Dothan,Alabama,Cleaning Services,False,False,False,False,False
0x88926ebe4260cb0f:0xc2e68d3f2e5ea7bb,Enterprise,Alabama,Appliance Repair & Installation,False,False,True,False,True
0x88926c20d237e50b:0x256cf257abfd6e5f,Enterprise,Alabama,HVAC & Air Quality,False,False,True,False,False
0x88926ea189606aaf:0xd0f326e009a36b52,Enterprise,Alabama,Plumbing Services,False,False,True,False,False
0x88926e3cf63a658d:0xa91d7e4e614142be,Enterprise,Alabama,Interior Remodeling,False,False,True,False,False
0x88926c3ac2569eaf:0xbcfcb3559147d68c,Enterprise,Alabama,Exterior Remodeling or Construction,False,True,True,False,False
0x88926dd33b69edf7:0x87ac36e63c2522d1,Enterprise,Alabama,Exterior Remodeling or Construction,False,True,True,False,False
0x8889d0604dce58e5:0x1e4cd8a386cf77f9,Eva,Alabama,Appliance Repair & Installation,False,False,False,True,False
0x8888e1ecf9f042b3:0x2b83686c18294477,Fairfield,Alabama,HVAC & Air Quality,False,False,False,False,True
0x889a40773668927d:0x453847a754d634b,Fairhope,Alabama,Landscape & Garden Services,False,False,True,False,True
0x889a41aac6a3b7ed:0xab1aab6f7b497035,Fairhope,Alabama,Appliance Repair & Installation,False,False,True,False,False
0x889a3fa33103c463:0x6f3bcebc4b5929d7,Fairhope,Alabama,Handyman or Other,False,False,True,False,False
0x889a3e65c55ae649:0xeb2a96dcb99a9d09,Fairhope,Alabama,Exterior Remodeling or Construction,False,False,True,False,False
0x889a155780768d27:0x87ae1c42d7a9df5b,Fairhope,Alabama,Plumbing Services,True,False,True,True,True
0x887d363d29392a8d:0x4c9fd80bf7a8e806,Florence,Alabama,HVAC & Air Quality,False,False,False,False,False
0x887d485949a59a17:0x79c3161e71dad0b1,Florence,Alabama,HVAC & Air Quality,False,False,False,False,False
0x887d37ca55861139:0xf091cf5acfd65898,Florence,Alabama,Handyman or Other,False,False,False,True,False
0x887d358abeaf82df:0x5f264e2051dc0f94,Florence,Alabama,Appliance Repair & Installation,False,False,False,False,False
0x887d48498645454d:0xe786b0a7b7637254,Florence,Alabama,Appliance Repair & Installation,False,False,False,False,False
0x887d48498e13a497:0xba26ae28d2038d91,Florence,Alabama,Appliance Repair & Installation,False,False,False,False,False
0x887d37f124a90a8f:0xaee973ccd154d6fd,Florence,Alabama,Exterior Remodeling or Construction,False,False,False,False,False
0x887d4906d56c1475:0x20cc4f4cc47aaf90,Florence,Alabama,Cleaning Services,False,False,False,False,False
0x889a0e2d8371f35f:0x42abda850a3247f9,Foley,Alabama,Exterior Remodeling or Construction,True,True,False,False,False
0x889a0fcc983c27a9:0x1e8499f612274e71,Foley,Alabama,Exterior Remodeling or Construction,True,True,False,False,False
0x889a055b53c46cc1:0xe221c9985c17a5a5,Foley,Alabama,Cleaning Services,False,False,False,False,False
0x889a0dcc67ad3087:0x53b137acb3b1a3ae,Foley,Alabama,Handyman or Other,False,True,False,False,False
0x889a0fd664a11817:0xda3f1f167e68c28b,Foley,Alabama,Handyman or Other,False,True,False,False,False
0x889a05c70686be3b:0xb8cdb5be91730bc1,Foley,Alabama,HVAC & Air Quality,True,True,False,True,True
0x889a0fbd12a679b3:0x3d57e810a75c7a1a,Foley,Alabama,HVAC & Air Quality,True,True,False,True,False
0x889a11f35490e285:0x3749c3e2931c0069,Foley,Alabama,Roofing & Insulation,False,False,False,False,False
0x889a0d9390648e79:0xd6bc26085cb55a73,Foley,Alabama,Appliance Repair & Installation,True,True,False,False,False
0x889a0e096d7bc6af:0x801960ee62ae3965,Foley,Alabama,Appliance Repair & Installation,True,True,False,False,True
0x889a0e991b8091ab:0xc44c4c87bf30daca,Foley,Alabama,Appliance Repair & Installation,True,True,False,False,False
0x889a0e0d2a3444cb:0x8ecddf4ec0b22777,Foley,Alabama,Interior Remodeling,False,False,False,False,False
0x888a3bdeeea95443:0x61aead15fef273c7,Gadsden,Alabama,Handyman or Other,False,False,False,False,False
0x888a3c181c1c990d:0xc5995c8da9c05cd8,Gadsden,Alabama,Appliance Repair & Installation,False,False,False,False,False
0x888a3ea15d95cb2d:0x7a349e9ce98f11a2,Gadsden,Alabama,Appliance Repair & Installation,False,False,False,False,False
0x888a3eb418bff875:0xac693e4aed252c85,Gadsden,Alabama,Cleaning Services,False,False,False,False,False
0x888a3fbf8e55251f:0xbc5adb0a90f6165,Gadsden,Alabama,Landscape & Garden Services,False,False,False,True,True
0x888a395392abf549:0x4d1155328ebcf98f,Gadsden,Alabama,HVAC & Air Quality,False,False,False,False,False
0x888a3ebc673b1733:0x1385c453170fb7e3,Gadsden,Alabama,HVAC & Air Quality,False,False,False,False,False
0x888906ca78f014f7:0xd2f4d49124e2a6cd,Gardendale,Alabama,Plumbing Services,False,False,False,False,False
0x888612e239ac9339:0x8eb168f22bdf40cc,Gordo,Alabama,HVAC & Air Quality,False,False,False,True,False
0x888e3db9ac7283cf:0xac2e9a96b3bf2d5f,Greenville,Alabama,HVAC & Air Quality,False,False,False,False,False
0x888e3c4eb9357a7b:0xccc31965d864405b,Greenville,Alabama,Electrical Services,False,False,False,False,False
0x8887b993dd570df3:0x1343f8a5137c69f3,Guin,Alabama,Handyman or Other,False,True,False,False,False
0x8861ffdcc2dd21cf:0xbe266596ba0e83d5,Guntersville,Alabama,Masonry & Concrete Services,False,False,False,False,False
0x8889f84d9bfe048d:0xdeec1132ecef1c97,Guntersville,Alabama,Exterior Remodeling or Construction,True,True,False,False,False
